,30_mean_rewards
428,9.835904761904766
429,9.673829787234048
430,8.77616161616162
431,8.878272727272718
432,8.391363636363636
433,8.299615384615388
434,8.745789473684214
435,9.775137614678897
436,9.671182795698925
437,9.80933962264151
438,9.807142857142857
439,9.765652173913045
440,9.797179487179491
441,9.818737864077669
442,9.264999999999993
443,9.774857142857146
444,9.814468085106386
445,8.96877358490566
446,9.60879120879121
447,8.366448598130836
448,9.019649122807019
449,9.830300000000001
450,9.702421052631582
451,9.816666666666666
452,9.760550458715596
453,8.659250000000004
454,9.852135922330099
455,9.572000000000001
456,9.828918918918921
457,9.76683098591549
458,7.966538461538473
459,9.838163265306122
460,9.826589147286827
461,9.823068181818188
462,9.763894736842104
463,9.786990291262137
464,9.826354166666667
465,8.855132743362844
466,9.211547619047618
467,9.78547169811321
468,9.792833333333336
469,9.804782608695652
470,8.716836734693885
471,8.857222222222223
472,9.83947916666667
473,9.737727272727275
474,9.838695652173909
475,9.840360360360362
476,9.805326086956523
477,9.769523809523811
478,9.79666666666667
479,9.796352941176469
480,9.406250000000002
481,9.859081632653059
482,9.866944444444444
483,9.826666666666672
484,9.859104477611941
485,9.851100000000004
486,9.824700000000004
487,8.939439252336452
488,9.815161290322578
489,9.834945054945054
490,9.038584905660372
491,9.743473684210525
492,9.763571428571435
493,9.773370786516855
494,8.831473684210527
495,9.862
496,9.753589743589743
497,8.9725
498,9.832857142857138
499,9.060458715596328
500,9.806808510638296
501,9.746063829787236
502,9.785918367346943
503,9.126106194690266
504,9.837345132743366
505,9.838850574712644
506,9.62855769230769
507,7.1363953488372
508,9.799999999999995
509,9.827211538461537
510,9.81186915887851
511,9.840686274509807
512,8.875473684210526
513,9.830714285714285
514,8.92741379310345
515,9.56368932038835
516,9.839999999999998
517,9.461057692307689
518,8.845050505050503
519,8.890000000000004
520,9.728446601941748
521,9.438196721311476
522,8.971098901098886
523,9.017745098039219
524,9.849270833333335
525,9.842584269662924
526,9.828421052631581
527,9.833606557377054
528,9.2444776119403
529,9.611403508771929
530,9.700652173913046
531,9.185416666666661
532,9.837800000000003
533,9.825357142857142
534,9.716019417475728
535,9.803820224719097
536,8.890500000000007
537,9.805357142857144
538,9.851764705882355
539,8.923302752293582
540,8.77140000000001
541,9.84978021978022
542,8.800366972477077
543,9.670188679245287
544,9.849239130434784
545,9.863069306930697
546,9.784913793103456
547,8.08812500000001
548,9.838557692307699
549,9.756336633663368
550,9.770086956521741
551,9.809670329670329
552,8.877087378640782
553,9.783028571428577
554,9.846999999999998
555,9.802580645161292
556,9.868425925925921
557,9.71448275862069
558,9.716697247706426
559,9.800104166666667
560,9.778019801980196
561,9.821752577319586
562,8.891734693877547
563,9.705312500000003
564,9.834583333333336
565,9.029400000000004
566,9.811800000000003
567,9.36093457943925
